계,컴퍼,회사,월,P,마지막,약대22,약대24,약대28,30,31,36,37,38,39,48,49,60,61
22-08,대지이엔씨,KB,505,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-10,안음(계약이관),K/SH/NH,1501,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,승리정보통신,S,1481,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,아튼,SH/NH,1000,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,프로테우스주식회사,H/NH,1000,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,헤덴건설주식회사,NH 2건,1000,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,미래환경플랜건축사사무소,KB,803,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,휴피트,NH,500,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,디토,KB,500,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-11,보림녹화산업,K/SH/KB,2000,30,24-01,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-11,지엘씨,KB,1004,30,23-12,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-11,지디시스,KB,1002,30,23-12,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-11,시에스에스,S,1000,30,24-01,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-11,미니게이트,K,1000,30,23-12,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-11,미래환경플랜건축사사무소,K,700,30,23-12,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-12,제이종합건설(프리),SH/Ka,1000,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,보림녹화산업,K/KB,1003,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,액티웍스,S,800,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,제이엔아이티,SH,502,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,가온환경산업,SH,501,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,복흥환경산업,SH,500,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,씨와이환경,SH,500,30,23-12,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
23-01,에센디엔텍,DB,2007,36,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-01,조인트리,KB,1502,30,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-01,엘케이벤처스,DB,200,30,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-02,이엠에스(계약이관),KB,1008,36,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-02,미소아이티,"KB,DB",1001,30,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-03,로드라이팅(프리),SH,1000,36,24-04,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,슈퍼블릿커뮤니케이션즈,S,499,36,24-05,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-04,하민알루미늄,K,500,36,24-06,25-01,25-03,25-07,25-09,25-10,26-03,26-04,26-05,26-06,27-03,27-04,28-03,28-04
23-04,원웨이,SH/NH,1001,36,24-05,25-01,25-03,25-07,25-09,25-10,26-03,26-04,26-05,26-06,27-03,27-04,28-03,28-04
23-04,엠엠피이엔지,SH/NH,1000,36,24-05,25-01,25-03,25-07,25-09,25-10,26-03,26-04,26-05,26-06,27-03,27-04,28-03,28-04
23-04,키움유통,KB,1000,36,24-05,25-01,25-03,25-07,25-09,25-10,26-03,26-04,26-05,26-06,27-03,27-04,28-03,28-04
23-05,미디어고릴라,SH,1000,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,프레임픽쳐스,SH/KDB,1000,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,피토메카,KB/KDB,1508,36,24-07,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,리프트서진,KB,1003,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,제이앤케이인터내셔널,KB,1001,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-06,서원엠에프지,KDB,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,에프엠코리아,KDB,2001,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,오릭스인터내셔널,K,500,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,휴먼로지스,SH/NH,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,제이앤케이인터내셔널,K,500,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-07,마루건설(프리),DB,1000,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,세츠이엔지,M/KDB,1992,37,24-11,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,한울에스디이,M,1000,37,24-12,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-08,동영소파산업(프리),S,1000,38,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,에이세븐운수,S/NH,2000,38,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,한빛물류,SH,1003,38,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-09,올앤에이,M,2000,38,24-12,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,한성기계공업,M,2000,38,24-12,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-10,아이스기술,M,3000,38,25-01,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,에스티에스엔지니어링,S,1500,38,24-10,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,디와이,S,1000,38,24-10,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,동주이엔텍,S,1000,38,24-10,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,올셋,M,1000,38,25-01,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-11,넷츠플러스,S,1000,38,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,인바디대전,S/NH,1001,38,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,화인매트릭스,S,1000,38,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,브릭코리아,S,2001,38,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,엘라키스톤(300),SH,303,48,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,아튼(2000선지급),M,482,38,25-02,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-12,시에스에스(1월계약포함/프리),S,1000,38,25-04,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,엘라키스톤(1700),S,1701,38,25-01,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,에이세븐운수,S,1500,38,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,네오클로바,S,1000,38,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,에이피이,S/NH/M,1996,38,25-02,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
24-01,에이치아이티에스,S,3000,38,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,형산전기,S,1000,38,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,씨엔에이바이오텍,S,1000,38,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,에스티에스엔지니어링,S,601,38,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,한성로직스,S,2000,38,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-03,에쏀텍네트웍스,SH,1001,48,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,엔와이티,S,500,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,기베스트,S,2000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,보강,S,1000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,아이티순정오일,S,1000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-04,한성무역,S/SH,2002,48,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,펀그랩,SH,1000,48,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-05,더아름(프리),S,1000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,메가케어,SH,1000,48,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,에이케이앤컴퍼니,S/SH,2000,38/48,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,대치제이프라임,S,2001,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,제이엘푸드텍,S,1000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
